PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,DateTime,Season
934.0,878.0,940.0,1644.0,847.0,22.5,49.0,1.3151,2004-06-09 01:00:00,spring
914.0,801.0,965.0,1609.0,908.0,22.3,50.6,1.3486,2004-06-09 02:00:00,spring
824.0,698.0,1107.0,1517.0,733.0,22.0,50.5,1.3199,2004-06-09 03:00:00,spring
817.0,672.0,1113.0,1501.0,751.0,20.8,54.4,1.3229,2004-06-09 04:00:00,spring
833.0,708.0,1084.0,1525.0,799.0,20.3,56.0,1.3204,2004-06-09 05:00:00,spring
935.0,905.0,899.0,1675.0,954.0,20.5,54.8,1.3073,2004-06-09 06:00:00,spring
1297.0,1359.0,630.0,2214.0,1425.0,21.7,50.6,1.2981,2004-06-09 07:00:00,spring
1496.0,923.0,507.0,1456.2645979312647,983.0,23.4,46.1,1.3091,2004-06-09 08:00:00,spring
1201.0,1224.0,701.0,1987.0,1532.0,25.1,43.0,1.3488,2004-06-09 09:00:00,spring
1267.0,1276.0,676.0,2059.0,1570.0,30.1,32.8,1.3795,2004-06-09 10:00:00,spring
1224.0,1228.0,711.0,1972.0,1380.0,34.7,25.9,1.4069,2004-06-09 11:00:00,spring
1247.0,1257.0,701.0,2000.0,1337.0,37.2,23.2,1.4478,2004-06-09 12:00:00,spring
1183.0,1241.0,721.0,1937.0,1308.0,39.5,18.3,1.2917,2004-06-09 13:00:00,spring
1078.0,1116.0,815.0,1761.0,1013.0,40.6,15.3,1.1485,2004-06-09 14:00:00,spring
1076.0,1012.0,894.0,1665.0,816.0,40.3,16.1,1.1896,2004-06-09 15:00:00,spring
1052.0,1019.0,896.0,1610.0,836.0,40.3,14.2,1.0494,2004-06-09 16:00:00,spring
1287.0,1340.0,699.0,2008.0,1267.0,39.6,16.7,1.1867,2004-06-09 17:00:00,spring
1460.0,1493.0,586.0,2288.0,1649.0,37.3,23.4,1.4672,2004-06-09 18:00:00,spring
1357.0,1445.0,620.0,2195.0,1622.0,33.7,27.7,1.4213,2004-06-09 19:00:00,spring
1234.0,1257.0,695.0,2019.0,1349.0,30.7,32.2,1.3983,2004-06-09 20:00:00,spring
1151.0,1154.0,747.0,1894.0,1186.0,28.4,35.7,1.3549,2004-06-09 21:00:00,spring
1065.0,1038.0,805.0,1763.0,1026.0,26.5,38.6,1.3154,2004-06-09 22:00:00,spring
984.0,929.0,917.0,1654.0,817.0,25.4,40.1,1.2822,2004-06-09 23:00:00,spring
938.0,881.0,956.0,1607.0,662.0,24.1,43.3,1.2839,2004-06-10 00:00:00,spring
878.0,774.0,1065.0,1527.0,552.0,23.9,45.6,1.3328,2004-06-10 01:00:00,spring
919.0,807.0,967.0,1598.0,775.0,22.0,52.8,1.3752,2004-06-10 02:00:00,spring
836.0,709.0,1085.0,1498.0,646.0,20.7,56.1,1.3565,2004-06-10 03:00:00,spring
814.0,673.0,1138.0,1488.0,647.0,20.1,57.3,1.3352,2004-06-10 04:00:00,spring
872.0,782.0,1001.0,1607.0,874.0,19.5,59.4,1.3328,2004-06-10 05:00:00,spring
949.0,929.0,887.0,1711.0,973.0,20.0,56.6,1.3095,2004-06-10 06:00:00,spring
1227.0,1292.0,661.0,2087.0,1327.0,21.7,53.9,1.3848,2004-06-10 07:00:00,spring
1360.0,1561.0,545.0,1456.2645979312647,1626.0,23.7,49.0,1.4152,2004-06-10 08:00:00,spring
1318.0,1420.0,586.0,1456.2645979312647,1640.0,25.9,44.3,1.4544,2004-06-10 09:00:00,spring
1196.0,1208.0,705.0,1981.0,1341.0,30.1,34.3,1.4414,2004-06-10 10:00:00,spring
1152.0,1102.0,770.0,1868.0,1113.0,33.5,27.2,1.3859,2004-06-10 11:00:00,spring
1220.0,1157.0,715.0,1935.0,1224.0,35.4,26.1,1.4806,2004-06-10 12:00:00,spring
1182.0,1120.0,735.0,1893.0,1095.0,37.9,23.2,1.502,2004-06-10 13:00:00,spring
1167.0,1210.0,719.0,1944.0,1152.0,39.7,18.7,1.3306,2004-06-10 14:00:00,spring
1142.0,1109.0,782.0,1789.0,1047.0,40.4,17.2,1.2774,2004-06-10 15:00:00,spring
1157.0,1105.0,779.0,1792.0,982.0,40.0,18.8,1.363,2004-06-10 16:00:00,spring
1274.0,1329.0,670.0,2054.0,1320.0,38.9,18.8,1.29,2004-06-10 17:00:00,spring
1372.0,1451.0,631.0,2183.0,1541.0,35.8,22.1,1.2792,2004-06-10 18:00:00,spring
1373.0,1440.0,635.0,2183.0,1510.0,33.1,25.9,1.2923,2004-06-10 19:00:00,spring
1290.0,1393.0,655.0,2146.0,1511.0,30.9,28.2,1.2388,2004-06-10 20:00:00,spring
1056.0,1051.0,826.0,1758.0,1078.0,27.5,32.6,1.176,2004-06-10 21:00:00,spring
1116.0,1123.0,768.0,1826.0,1235.0,26.3,34.3,1.1605,2004-06-10 22:00:00,spring
1106.0,1122.0,783.0,1813.0,1202.0,25.5,34.1,1.0968,2004-06-10 23:00:00,spring
1018.0,992.0,839.0,1710.0,1103.0,24.7,39.3,1.2065,2004-06-11 00:00:00,spring
919.0,880.0,915.0,1628.0,1013.0,24.2,39.5,1.1764,2004-06-11 01:00:00,spring
807.0,681.0,1092.0,1435.0,765.0,24.8,37.8,1.1639,2004-06-11 02:00:00,spring
787.0,620.0,1176.0,1403.0,618.0,22.7,43.8,1.1952,2004-06-11 03:00:00,spring
789.0,623.0,1146.0,1407.0,663.0,22.0,44.3,1.1553,2004-06-11 04:00:00,spring
825.0,709.0,1050.0,1491.0,813.0,19.3,51.4,1.1364,2004-06-11 05:00:00,spring
912.0,858.0,923.0,1608.0,894.0,19.8,50.4,1.1525,2004-06-11 06:00:00,spring
1339.0,1425.0,595.0,2264.0,1495.0,20.5,48.2,1.1474,2004-06-11 07:00:00,spring
1355.0,1526.0,567.0,1456.2645979312647,1658.0,22.8,42.7,1.1667,2004-06-11 08:00:00,spring
1250.0,1336.0,632.0,2104.0,1506.0,25.6,35.8,1.1548,2004-06-11 09:00:00,spring
1105.0,1079.0,788.0,1774.0,1168.0,30.0,27.5,1.1509,2004-06-11 10:00:00,spring
1076.0,1055.0,817.0,1734.0,993.0,34.4,21.0,1.1248,2004-06-11 11:00:00,spring
1096.0,1087.0,801.0,1759.0,910.0,35.9,19.6,1.1422,2004-06-11 12:00:00,spring
1093.0,1094.0,797.0,1769.0,912.0,37.2,18.2,1.1389,2004-06-11 13:00:00,spring
1027.0,1066.0,837.0,1689.0,814.0,37.3,16.6,1.0435,2004-06-11 14:00:00,spring
1026.0,1085.0,848.0,1654.0,1341.0,37.4,14.9,0.9413,2004-06-11 15:00:00,spring
1015.0,1062.0,877.0,1668.0,847.0,36.4,15.1,0.9005,2004-06-11 16:00:00,spring
1028.0,1155.0,832.0,1691.0,925.0,35.4,14.7,0.8323,2004-06-11 17:00:00,spring
1074.0,1270.0,776.0,1833.0,1087.0,34.2,14.2,0.7502,2004-06-11 18:00:00,spring
1124.0,1289.0,765.0,1863.0,1132.0,31.1,18.7,0.8302,2004-06-11 19:00:00,spring
1111.0,1256.0,765.0,1851.0,1197.0,29.1,22.0,0.8702,2004-06-11 20:00:00,spring
1062.0,1183.0,794.0,1731.0,1229.0,27.2,22.5,0.7962,2004-06-11 21:00:00,spring
1072.0,1148.0,805.0,1683.0,1171.0,25.3,24.6,0.7796,2004-06-11 22:00:00,spring
936.0,871.0,990.0,1430.0,921.0,24.9,27.2,0.8429,2004-06-11 23:00:00,spring
988.0,937.0,894.0,1543.0,1008.0,23.5,32.2,0.922,2004-06-12 00:00:00,spring
924.0,839.0,957.0,1453.0,849.0,23.5,32.7,0.9349,2004-06-12 01:00:00,spring
839.0,725.0,1052.0,1368.0,668.0,24.1,32.0,0.9467,2004-06-12 02:00:00,spring
826.0,666.0,1109.0,1349.0,641.0,22.6,34.8,0.9441,2004-06-12 03:00:00,spring
853.0,716.0,1047.0,1414.0,707.0,20.8,40.2,0.9725,2004-06-12 04:00:00,spring
918.0,810.0,936.0,1524.0,939.0,18.8,46.6,1.0027,2004-06-12 05:00:00,spring
890.0,791.0,950.0,1489.0,886.0,19.8,46.0,1.0524,2004-06-12 06:00:00,spring
865.0,752.0,996.0,1451.0,837.0,21.3,42.3,1.0625,2004-06-12 07:00:00,spring
1003.0,937.0,850.0,1622.0,1005.0,21.3,41.8,1.0449,2004-06-12 08:00:00,spring
1123.0,1088.0,746.0,1789.0,1191.0,24.0,36.6,1.0772,2004-06-12 09:00:00,spring
1146.0,1119.0,746.0,1823.0,1200.0,27.2,30.7,1.0884,2004-06-12 10:00:00,spring
1110.0,1021.0,820.0,1724.0,971.0,32.3,23.6,1.1271,2004-06-12 11:00:00,spring
1126.0,979.0,849.0,1700.0,907.0,31.9,25.8,1.2023,2004-06-12 12:00:00,spring
1067.0,962.0,860.0,1658.0,802.0,35.1,21.8,1.2093,2004-06-12 13:00:00,spring
1008.0,866.0,937.0,1573.0,695.0,36.0,20.5,1.1995,2004-06-12 14:00:00,spring
1062.0,924.0,892.0,1683.0,777.0,37.0,20.1,1.2423,2004-06-12 15:00:00,spring
1082.0,939.0,869.0,1678.0,818.0,36.4,21.0,1.2515,2004-06-12 16:00:00,spring
1042.0,897.0,901.0,1605.0,681.0,35.2,22.6,1.267,2004-06-12 17:00:00,spring
1022.0,823.0,964.0,1599.0,631.0,32.5,27.6,1.3229,2004-06-12 18:00:00,spring
1024.0,828.0,936.0,1601.0,641.0,29.1,35.1,1.3919,2004-06-12 19:00:00,spring
1048.0,828.0,922.0,1618.0,683.0,26.9,39.7,1.3898,2004-06-12 20:00:00,spring
1153.0,1022.0,765.0,1806.0,1013.0,26.1,42.2,1.4039,2004-06-12 21:00:00,spring
1195.0,1077.0,731.0,1860.0,1151.0,25.5,43.8,1.4095,2004-06-12 22:00:00,spring
1245.0,1091.0,734.0,1870.0,1134.0,24.9,45.6,1.4135,2004-06-12 23:00:00,spring
1086.0,946.0,847.0,1729.0,945.0,25.2,45.2,1.4262,2004-06-13 00:00:00,spring
972.0,804.0,955.0,1620.0,734.0,25.4,45.5,1.457,2004-06-13 01:00:00,spring
880.0,677.0,1109.0,1500.0,554.0,26.2,43.6,1.4599,2004-06-13 02:00:00,spring
906.0,719.0,1050.0,1561.0,612.0,24.3,48.2,1.4476,2004-06-13 03:00:00,spring
879.0,658.0,1121.0,1511.0,564.0,24.4,48.3,1.4499,2004-06-13 04:00:00,spring
842.0,597.0,1237.0,1444.0,512.0,23.3,51.0,1.4346,2004-06-13 05:00:00,spring
797.0,543.0,818.0,1347.0,410.0,21.6,48.1,1.2259,2004-06-13 06:00:00,spring
796.0,526.0,818.0,1322.0,392.0,21.4,47.8,1.2005,2004-06-13 07:00:00,spring
767.0,520.0,818.0,1287.0,377.0,20.5,46.8,1.1152,2004-06-13 08:00:00,spring
784.0,562.0,818.0,1286.0,389.0,20.8,40.7,0.9882,2004-06-13 09:00:00,spring
811.0,622.0,1315.0,1307.0,432.0,22.3,35.3,0.9371,2004-06-13 10:00:00,spring
838.0,620.0,1292.0,1325.0,502.0,21.7,38.3,0.9842,2004-06-13 11:00:00,spring
821.0,632.0,1295.0,1302.0,469.0,24.4,29.6,0.8921,2004-06-13 12:00:00,spring
793.0,579.0,1380.0,1303.0,427.0,23.4,34.9,0.991,2004-06-13 13:00:00,spring
794.0,567.0,818.0,1306.0,406.0,23.5,35.2,1.0019,2004-06-13 14:00:00,spring
821.0,614.0,1309.0,1350.0,430.0,22.4,39.0,1.04,2004-06-13 15:00:00,spring
849.0,628.0,1274.0,1379.0,453.0,22.0,41.7,1.0865,2004-06-13 16:00:00,spring
852.0,651.0,1246.0,1387.0,470.0,21.7,42.7,1.0949,2004-06-13 17:00:00,spring
847.0,645.0,1245.0,1364.0,480.0,20.7,43.4,1.047,2004-06-13 18:00:00,spring
849.0,682.0,1215.0,1378.0,472.0,20.3,42.6,1.0045,2004-06-13 19:00:00,spring
865.0,687.0,1191.0,1388.0,521.0,20.3,44.1,1.0392,2004-06-13 20:00:00,spring
848.0,689.0,1180.0,1403.0,520.0,20.1,45.2,1.0538,2004-06-13 21:00:00,spring
807.0,606.0,1340.0,1337.0,440.0,19.8,45.7,1.0424,2004-06-13 22:00:00,spring
814.0,627.0,1305.0,1351.0,446.0,19.6,45.3,1.0244,2004-06-13 23:00:00,spring
785.0,582.0,1377.0,1311.0,417.0,19.4,45.9,1.0242,2004-06-14 00:00:00,spring
748.0,515.0,818.0,1261.0,381.0,19.7,44.8,1.0172,2004-06-14 01:00:00,spring
716.0,461.0,818.0,1235.0,350.0,19.5,46.3,1.0363,2004-06-14 02:00:00,spring
708.0,437.0,818.0,1227.0,334.0,19.0,49.0,1.063,2004-06-14 03:00:00,spring
724.0,448.0,818.0,1256.0,346.0,19.1,50.7,1.109,2004-06-14 04:00:00,spring
748.0,477.0,818.0,1301.0,380.0,19.1,52.7,1.1545,2004-06-14 05:00:00,spring
888.0,683.0,1196.0,1483.0,563.0,20.3,49.3,1.1596,2004-06-14 06:00:00,spring
973.0,858.0,941.0,1584.0,779.0,21.1,46.2,1.1389,2004-06-14 07:00:00,spring
993.0,927.0,886.0,1665.0,842.0,21.5,44.5,1.129,2004-06-14 08:00:00,spring
929.0,825.0,992.0,1561.0,692.0,22.4,43.6,1.1637,2004-06-14 09:00:00,spring
962.0,858.0,941.0,1613.0,779.0,24.8,39.1,1.2039,2004-06-14 10:00:00,spring
906.0,786.0,1026.0,1538.0,633.0,23.9,42.1,1.2335,2004-06-14 11:00:00,spring
915.0,776.0,1029.0,1544.0,616.0,25.5,38.3,1.2328,2004-06-14 12:00:00,spring
928.0,787.0,1012.0,1585.0,606.0,25.4,39.2,1.2534,2004-06-14 13:00:00,spring
855.0,698.0,1134.0,1449.0,526.0,25.6,37.0,1.2006,2004-06-14 14:00:00,spring
920.0,783.0,1046.0,1550.0,588.0,24.5,38.4,1.1669,2004-06-14 15:00:00,spring
917.0,842.0,985.0,1563.0,674.0,23.9,39.9,1.1639,2004-06-14 16:00:00,spring
1072.0,1057.0,812.0,1820.0,885.0,24.2,39.2,1.1665,2004-06-14 17:00:00,spring
1000.0,985.0,846.0,1726.0,879.0,23.5,41.2,1.1759,2004-06-14 18:00:00,spring
914.0,845.0,972.0,1583.0,703.0,22.3,44.9,1.1973,2004-06-14 19:00:00,spring
888.0,799.0,1023.0,1531.0,637.0,21.7,46.5,1.1917,2004-06-14 20:00:00,spring
851.0,718.0,1134.0,1471.0,561.0,22.0,44.9,1.1699,2004-06-14 21:00:00,spring
870.0,749.0,1096.0,1487.0,612.0,22.2,44.1,1.1654,2004-06-14 22:00:00,spring
883.0,773.0,1062.0,1514.0,621.0,21.8,45.6,1.1763,2004-06-14 23:00:00,spring
886.0,767.0,1055.0,1532.0,702.0,21.6,46.0,1.1742,2004-06-15 00:00:00,spring
792.0,637.0,1249.0,1400.0,559.0,21.6,45.8,1.1715,2004-06-15 01:00:00,spring
754.0,535.0,818.0,1335.0,435.0,20.7,48.3,1.168,2004-06-15 02:00:00,spring
732.0,503.0,818.0,1321.0,441.0,21.0,47.1,1.1546,2004-06-15 03:00:00,spring
770.0,586.0,1326.0,1392.0,527.0,20.8,48.5,1.18,2004-06-15 04:00:00,spring
797.0,654.0,1097.0,1450.0,720.0,20.8,49.4,1.1994,2004-06-15 05:00:00,spring
915.0,877.0,897.0,1651.0,937.0,19.9,51.8,1.1911,2004-06-15 06:00:00,spring
1287.0,1423.0,610.0,1456.2645979312647,1482.0,20.9,49.3,1.2049,2004-06-15 07:00:00,spring
1195.0,1424.0,609.0,2244.0,1489.0,23.7,39.9,1.1508,2004-06-15 08:00:00,spring
1003.0,1009.0,823.0,1710.0,1015.0,25.3,35.8,1.1421,2004-06-15 09:00:00,spring
1037.0,1046.0,838.0,1763.0,1004.0,28.8,29.1,1.1349,2004-06-15 10:00:00,spring
1114.0,1181.0,747.0,1928.0,1129.0,30.3,26.9,1.1399,2004-06-15 11:00:00,spring
1085.0,1171.0,767.0,1863.0,1068.0,32.8,23.3,1.138,2004-06-15 12:00:00,spring
1024.0,1087.0,824.0,1745.0,924.0,33.9,21.4,1.1135,2004-06-15 13:00:00,spring
1017.0,1057.0,859.0,1698.0,861.0,35.3,19.6,1.1036,2004-06-15 14:00:00,spring
1053.0,1173.0,785.0,1808.0,981.0,34.0,20.8,1.0898,2004-06-15 15:00:00,spring
1065.0,1198.0,766.0,1852.0,1043.0,35.3,18.8,1.0572,2004-06-15 16:00:00,spring
1136.0,1250.0,722.0,1940.0,1124.0,32.6,24.1,1.1688,2004-06-15 17:00:00,spring
1100.0,1202.0,732.0,1856.0,1004.0,30.8,28.7,1.2507,2004-06-15 18:00:00,spring
1143.0,1319.0,673.0,2001.0,1190.0,28.7,31.2,1.2099,2004-06-15 19:00:00,spring
1083.0,1157.0,742.0,1884.0,1072.0,26.8,35.1,1.2201,2004-06-15 20:00:00,spring
1009.0,1034.0,806.0,1763.0,925.0,25.3,39.4,1.2524,2004-06-15 21:00:00,spring
969.0,983.0,853.0,1680.0,862.0,23.9,40.9,1.1966,2004-06-15 22:00:00,spring
1029.0,993.0,816.0,1728.0,969.0,23.0,44.4,1.2354,2004-06-15 23:00:00,spring
1064.0,956.0,812.0,1770.0,932.0,22.2,53.9,1.4237,2004-06-16 00:00:00,spring
986.0,853.0,865.0,1645.0,794.0,20.9,59.8,1.4659,2004-06-16 01:00:00,spring
872.0,709.0,1034.0,1522.0,599.0,21.3,58.1,1.457,2004-06-16 02:00:00,spring
840.0,654.0,1124.0,1489.0,614.0,20.8,58.4,1.4189,2004-06-16 03:00:00,spring
812.0,626.0,1134.0,1471.0,625.0,20.3,58.9,1.3878,2004-06-16 04:00:00,spring
810.0,612.0,1163.0,1462.0,595.0,21.3,54.5,1.3682,2004-06-16 05:00:00,spring
936.0,849.0,882.0,1640.0,886.0,20.6,57.4,1.3753,2004-06-16 06:00:00,spring
1244.0,1265.0,640.0,2084.0,1257.0,21.3,56.9,1.4226,2004-06-16 07:00:00,spring
1440.0,1556.0,517.0,1456.2645979312647,1561.0,22.9,52.4,1.4442,2004-06-16 08:00:00,spring
1180.0,1145.0,713.0,1929.0,1191.0,24.1,46.5,1.3802,2004-06-16 09:00:00,spring
1126.0,1058.0,765.0,1879.0,1061.0,27.1,38.8,1.3705,2004-06-16 10:00:00,spring
1005.0,910.0,881.0,1670.0,751.0,28.4,34.4,1.314,2004-06-16 11:00:00,spring
1032.0,940.0,862.0,1703.0,733.0,30.1,30.9,1.2958,2004-06-16 12:00:00,spring
1087.0,1106.0,755.0,1839.0,906.0,32.7,25.8,1.2547,2004-06-16 13:00:00,spring
1090.0,1119.0,756.0,1811.0,902.0,32.4,25.7,1.2271,2004-06-16 14:00:00,spring
1072.0,1050.0,802.0,1748.0,836.0,33.6,24.4,1.2472,2004-06-16 15:00:00,spring
1101.0,1057.0,797.0,1772.0,863.0,33.0,26.0,1.2877,2004-06-16 16:00:00,spring
1111.0,1086.0,787.0,1802.0,824.0,33.2,23.7,1.1855,2004-06-16 17:00:00,spring
1048.0,1070.0,807.0,1737.0,842.0,31.3,25.4,1.1415,2004-06-16 18:00:00,spring
1197.0,1249.0,698.0,1986.0,1132.0,28.3,31.7,1.1968,2004-06-16 19:00:00,spring
1173.0,1217.0,695.0,1930.0,1175.0,26.5,35.0,1.1981,2004-06-16 20:00:00,spring
1075.0,1079.0,764.0,1798.0,1111.0,24.4,40.0,1.2079,2004-06-16 21:00:00,spring
1067.0,1106.0,745.0,1840.0,1125.0,23.3,43.4,1.2251,2004-06-16 22:00:00,spring
1060.0,1099.0,742.0,1838.0,1077.0,22.5,45.3,1.2226,2004-06-16 23:00:00,spring
1081.0,1099.0,749.0,1854.0,1087.0,21.8,47.8,1.2325,2004-06-17 00:00:00,spring
1017.0,975.0,822.0,1722.0,1014.0,20.9,51.0,1.2446,2004-06-17 01:00:00,spring
836.0,734.0,1035.0,1501.0,801.0,20.8,51.7,1.2572,2004-06-17 02:00:00,spring
831.0,727.0,1038.0,1522.0,802.0,19.3,57.1,1.2661,2004-06-17 03:00:00,spring
804.0,668.0,1102.0,1479.0,753.0,18.8,58.6,1.2581,2004-06-17 04:00:00,spring
798.0,677.0,1092.0,1473.0,696.0,20.2,53.8,1.2569,2004-06-17 05:00:00,spring
966.0,951.0,812.0,1735.0,996.0,18.3,60.8,1.2635,2004-06-17 06:00:00,spring
1277.0,1388.0,611.0,2241.0,1513.0,20.2,54.5,1.2777,2004-06-17 07:00:00,spring
1335.0,1496.0,562.0,1456.2645979312647,1598.0,21.9,49.9,1.2957,2004-06-17 08:00:00,spring
1297.0,1353.0,588.0,2128.0,1690.0,25.2,43.0,1.3548,2004-06-17 09:00:00,spring
1041.0,979.0,837.0,1705.0,1053.0,28.0,36.6,1.3603,2004-06-17 10:00:00,spring
1027.0,936.0,867.0,1696.0,931.0,27.1,38.3,1.3548,2004-06-17 11:00:00,spring
1037.0,969.0,841.0,1728.0,865.0,27.4,37.0,1.3319,2004-06-17 12:00:00,spring
1014.0,954.0,865.0,1697.0,818.0,29.4,32.9,1.3244,2004-06-17 13:00:00,spring
1007.0,971.0,866.0,1682.0,802.0,31.3,28.7,1.2885,2004-06-17 14:00:00,spring
998.0,958.0,881.0,1657.0,778.0,31.5,28.7,1.3058,2004-06-17 15:00:00,spring
1014.0,958.0,878.0,1684.0,767.0,30.9,30.3,1.3306,2004-06-17 16:00:00,spring
1157.0,1160.0,738.0,1936.0,1000.0,31.4,30.3,1.3689,2004-06-17 17:00:00,spring
1225.0,1281.0,683.0,2082.0,1143.0,30.7,31.4,1.3686,2004-06-17 18:00:00,spring
1131.0,1194.0,726.0,1907.0,1009.0,29.0,33.4,1.3169,2004-06-17 19:00:00,spring
1111.0,1126.0,754.0,1883.0,1076.0,27.3,37.5,1.342,2004-06-17 20:00:00,spring
976.0,909.0,878.0,1675.0,830.0,25.8,40.9,1.3389,2004-06-17 21:00:00,spring
1016.0,929.0,868.0,1724.0,853.0,25.2,43.0,1.358,2004-06-17 22:00:00,spring
1177.0,1156.0,684.0,1983.0,1310.0,24.6,45.8,1.394,2004-06-17 23:00:00,spring
1013.0,999.0,791.0,1751.0,1119.0,24.0,47.3,1.3914,2004-06-18 00:00:00,spring
886.0,813.0,936.0,1592.0,918.0,23.5,48.3,1.3777,2004-06-18 01:00:00,spring
791.0,658.0,1140.0,1467.0,609.0,24.0,45.8,1.3467,2004-06-18 02:00:00,spring
762.0,618.0,1214.0,1431.0,516.0,22.2,50.7,1.3405,2004-06-18 03:00:00,spring
740.0,568.0,1259.0,1404.0,510.0,22.8,48.1,1.3184,2004-06-18 04:00:00,spring
775.0,628.0,1178.0,1437.0,554.0,21.9,50.1,1.3002,2004-06-18 05:00:00,spring
872.0,833.0,947.0,1598.0,760.0,20.4,54.1,1.28,2004-06-18 06:00:00,spring
1123.0,1134.0,711.0,1922.0,1170.0,20.8,52.6,1.2758,2004-06-18 07:00:00,spring
1306.0,1522.0,535.0,1456.2645979312647,1545.0,22.8,47.9,1.3156,2004-06-18 08:00:00,spring
1237.0,1332.0,605.0,2157.0,1508.0,25.2,42.9,1.3552,2004-06-18 09:00:00,spring
1143.0,1146.0,701.0,1917.0,1292.0,29.3,34.8,1.397,2004-06-18 10:00:00,spring
1170.0,1168.0,703.0,1949.0,1287.0,33.3,27.8,1.4013,2004-06-18 11:00:00,spring
1116.0,1128.0,739.0,1856.0,1042.0,34.9,24.9,1.363,2004-06-18 12:00:00,spring
1054.0,1069.0,785.0,1766.0,817.0,36.1,22.7,1.3324,2004-06-18 13:00:00,spring
1083.0,1097.0,765.0,1810.0,847.0,37.6,21.1,1.3478,2004-06-18 14:00:00,spring
1078.0,1069.0,782.0,1780.0,806.0,37.3,21.9,1.3761,2004-06-18 15:00:00,spring
1104.0,1143.0,747.0,1840.0,896.0,37.2,21.6,1.3514,2004-06-18 16:00:00,spring
1170.0,1257.0,693.0,1956.0,1069.0,35.6,23.4,1.341,2004-06-18 17:00:00,spring
1091.0,1201.0,738.0,1834.0,945.0,33.1,24.3,1.2087,2004-06-18 18:00:00,spring
1216.0,1318.0,673.0,2043.0,1168.0,30.5,29.5,1.2635,2004-06-18 19:00:00,spring
1125.0,1179.0,719.0,1921.0,1065.0,28.7,35.8,1.3834,2004-06-18 20:00:00,spring
971.0,881.0,916.0,1635.0,672.0,26.6,42.2,1.4452,2004-06-18 21:00:00,spring
1062.0,984.0,816.0,1796.0,842.0,25.2,46.6,1.4733,2004-06-18 22:00:00,spring
1140.0,1109.0,714.0,1892.0,1123.0,24.7,47.7,1.4649,2004-06-18 23:00:00,spring
1038.0,992.0,802.0,1731.0,1007.0,24.4,47.4,1.4301,2004-06-19 00:00:00,spring
935.0,836.0,909.0,1604.0,855.0,23.3,49.9,1.4135,2004-06-19 01:00:00,spring
861.0,729.0,1043.0,1528.0,689.0,23.8,47.3,1.3783,2004-06-19 02:00:00,spring
839.0,678.0,1062.0,1478.0,622.0,22.9,50.2,1.3808,2004-06-19 03:00:00,spring
850.0,703.0,1021.0,1511.0,658.0,21.2,55.0,1.3689,2004-06-19 04:00:00,spring
817.0,651.0,1109.0,1472.0,628.0,21.7,52.6,1.35,2004-06-19 05:00:00,spring
825.0,667.0,1079.0,1475.0,659.0,22.8,48.9,1.3424,2004-06-19 06:00:00,spring
921.0,792.0,943.0,1595.0,799.0,23.5,47.6,1.3611,2004-06-19 07:00:00,spring
1031.0,945.0,806.0,1697.0,964.0,24.6,44.9,1.3661,2004-06-19 08:00:00,spring
1092.0,967.0,801.0,1774.0,910.0,27.0,39.9,1.402,2004-06-19 09:00:00,spring
1095.0,923.0,843.0,1736.0,999.0,29.3,35.9,1.4411,2004-06-19 10:00:00,spring
1097.0,964.0,822.0,1743.0,853.0,31.2,32.4,1.4517,2004-06-19 11:00:00,spring
1101.0,972.0,819.0,1714.0,752.0,34.4,26.6,1.423,2004-06-19 12:00:00,spring
1060.0,991.0,833.0,1718.0,778.0,36.1,22.1,1.3004,2004-06-19 13:00:00,spring
1099.8331664998332,939.1533755978201,835.4936047158269,1456.2645979312647,1022.9061283505728,18.31782894005116,49.234200867534206,1.0255302747191635,2004-06-19 14:00:00,spring
1099.8331664998332,939.1533755978201,835.4936047158269,1456.2645979312647,1022.9061283505728,18.31782894005116,49.234200867534206,1.0255302747191635,2004-06-19 15:00:00,spring
1099.8331664998332,939.1533755978201,835.4936047158269,1456.2645979312647,1022.9061283505728,18.31782894005116,49.234200867534206,1.0255302747191635,2004-06-19 16:00:00,spring
1099.8331664998332,939.1533755978201,835.4936047158269,1456.2645979312647,1022.9061283505728,18.31782894005116,49.234200867534206,1.0255302747191635,2004-06-19 17:00:00,spring
1099.8331664998332,939.1533755978201,835.4936047158269,1456.2645979312647,1022.9061283505728,18.31782894005116,49.234200867534206,1.0255302747191635,2004-06-19 18:00:00,spring
1099.8331664998332,939.1533755978201,835.4936047158269,1456.2645979312647,1022.9061283505728,18.31782894005116,49.234200867534206,1.0255302747191635,2004-06-19 19:00:00,spring
1099.8331664998332,939.1533755978201,835.4936047158269,1456.2645979312647,1022.9061283505728,18.31782894005116,49.234200867534206,1.0255302747191635,2004-06-19 20:00:00,spring
1099.8331664998332,939.1533755978201,835.4936047158269,1456.2645979312647,1022.9061283505728,18.31782894005116,49.234200867534206,1.0255302747191635,2004-06-19 21:00:00,spring
1099.8331664998332,939.1533755978201,835.4936047158269,1456.2645979312647,1022.9061283505728,18.31782894005116,49.234200867534206,1.0255302747191635,2004-06-19 22:00:00,spring
1099.8331664998332,939.1533755978201,835.4936047158269,1456.2645979312647,1022.9061283505728,18.31782894005116,49.234200867534206,1.0255302747191635,2004-06-19 23:00:00,spring
